DEPTO,CÓDIGO,MATERIA,DOCENTES,FECHA,HORA INICIO,HORA FIN,SEDE
MATEMATICA,6107,MATEMATICA DISCRETA,"GRYNBERG, SEBASTIAN PABLO - ACERO, FERNANDO RODOLFO",2/6/2023,7:00,10:00,Paseo Colon
MATEMATICA,8111,MATEMÁTICA DISCRETA,"ACERO, FERNANDO RODOLFO - GRYNBERG, SEBASTIAN PABLO",2/6/2023,7:00,10:00,Paseo Colon
MATEMATICA,6122,ALGEBRA II C,"GRÖER, MARIA GABRIELA - GRYNBERG, SEBASTIAN PABLO",2/6/2023,9:00,13:00,Paseo Colon
CONSTRUCCIONES,9402,ARQUITECTURA Y PLANIFICACIÓN URBANA,"MELICCHIO, MARIA ROSA - MARINELLI, PATRICIA SUSANA",2/6/2023,15:00,18:00,Las Heras
COMPUTACION,9501,COMPUTACIÓN,"BURIN, ABRAHAM ALBERTO DA",2/6/2023,15:00,19:00,Paseo Colon
COMPUTACION,7501,COMPUTACIÓN,"BURIN, ABRAHAM ALBERTO DA",2/6/2023,15:00,19:00,Paseo Colon
MECANICA,6725,ELEMENTOS DE MAQUINAS,"FACAL, GUILLERMO RUBEN",2/6/2023,15:00,19:00,Paseo Colon
ELECTRONICA,6620,ORGANIZACION DE COMPUTADORAS,"HAMKALO, JOSE LUIS",2/6/2023,15:00,18:00,Paseo Colon
ELECTRONICA,8637,ORGANIZACIÓN DE COMPUTADORAS,"HAMKALO, JOSE LUIS",2/6/2023,15:00,18:00,Paseo Colon
TEC INDUSTRIAL,9216,SEMINARIO DE INGENIERÍA INDUSTRIAL II,"GONZALEZ, XAVIER IGNACIO",2/6/2023,15:00,17:00,Las Heras
CONSTRUCCIONES,9408,URBANISMO,"MELICCHIO, MARIA ROSA - MARINELLI, PATRICIA SUSANA",2/6/2023,15:00,18:00,Las Heras
ESTABILIDAD,6416,ANALISIS EXPERIMENTAL DE TENSIONES,"BERTERO, AGUSTÍN",2/6/2023,16:00,19:00,Las Heras
ESTABILIDAD,8410,ANÁLISIS EXPERIMENTAL DE TENSIONES,"BERTERO, AGUSTÍN",2/6/2023,16:00,19:00,Las Heras
COMPUTACION,7512,ANALISIS NUMERICO I,"SCHWARZ, RODOLFO ALEJANDRO",2/6/2023,16:00,19:00,Las Heras
COMPUTACION,9504,ANÁLISIS NUMÉRICO I,"SCHWARZ, RODOLFO ALEJANDRO",2/6/2023,16:00,19:00,Las Heras
ESTABILIDAD,8414,ANÁLISIS SÍSMICO,"BERTERO, RAUL DOMINGO - LEHMANN, ALEJANDRO NICOLAS",2/6/2023,16:00,19:00,Las Heras
